Season,Player Name,Team,GP,TOI,G,A,FirstA,Points,Shots,iFenwick,iCorsi,ShPct,G/60,A/60,FirstA/60,Points/60,Shots/60,iFenwick/60,iCorsi/60,IGP,IAP,IPP,Sv%,Winner
2014-2015,Adam Lowry,Winnipeg,80,981:13:00,10,8,7,18,94,128,164,10.64,0.61,0.49,0.43,1.1,5.75,7.83,10.03,31.2,25,56.2,0,0
2015-2016,Adam Lowry,Winnipeg,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Adam Mair,New Jersey,65,550:55:00,1,3,2,4,57,74,87,1.75,0.11,0.33,0.22,0.44,6.21,8.06,9.48,16.7,50,66.7,0,0
2014-2015,Adam Mcquaid,Boston,63,1009:46:00,1,5,2,6,57,80,129,1.75,0.06,0.3,0.12,0.36,3.39,4.75,7.67,3.8,19.2,23.1,0,0
2013-2014,Adam Mcquaid,Boston,30,418:16:00,1,5,2,6,25,31,56,4,0.14,0.72,0.29,0.86,3.59,4.45,8.03,5,25,30,0,0
2012-2013,Adam Mcquaid,Boston,32,432:58:00,1,2,1,3,25,36,62,4,0.14,0.28,0.14,0.42,3.46,4.99,8.59,7.1,14.3,21.4,0,0
2011-2012,Adam Mcquaid,Boston,72,980:20:00,2,8,2,10,63,89,155,3.17,0.12,0.49,0.12,0.61,3.86,5.45,9.49,4.7,18.6,23.3,0,0
2010-2011,Adam Mcquaid,Boston,67,886:24:00,3,11,5,14,45,61,122,6.67,0.2,0.74,0.34,0.95,3.05,4.13,8.26,6.1,22.4,28.6,0,1
2015-2016,Adam Mcquaid,Boston,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Adam Pardy,Winnipeg,55,668:27:00,0,8,4,8,28,39,76,0,0,0.72,0.36,0.72,2.51,3.5,6.82,0,30.8,30.8,0,0
2013-2014,Adam Pardy,Winnipeg,60,797:26:00,0,6,2,6,46,66,98,0,0,0.45,0.15,0.45,3.46,4.97,7.37,0,20,20,0,0
2012-2013,Adam Pardy,Buffalo,17,253:15:00,0,4,1,4,6,10,16,0,0,0.95,0.24,0.95,1.42,2.37,3.79,0,36.4,36.4,0,0
2011-2012,Adam Pardy,Dallas,36,548:20:00,0,2,0,2,28,36,54,0,0,0.22,0,0.22,3.06,3.94,5.91,0,11.1,11.1,0,0
2010-2011,Adam Pardy,Calgary,30,407:38:00,1,5,3,6,33,44,74,3.03,0.15,0.74,0.44,0.88,4.86,6.48,10.89,4.8,23.8,28.6,0,0
2015-2016,Adam Pardy,Winnipeg,,,,,,,,,,,,,,,,,,,,,,
2012-2013,Adrian Aucoin,Columbus,36,516:20:00,0,4,2,4,24,35,61,0,0,0.46,0.23,0.46,2.79,4.07,7.09,0,30.8,30.8,0,0
2011-2012,Adrian Aucoin,Arizona,64,1071:49:00,1,6,0,7,77,120,173,1.3,0.06,0.34,0,0.39,4.31,6.72,9.68,2.4,14.3,16.7,0,0
2010-2011,Adrian Aucoin,Arizona,75,1275:09:00,3,13,9,16,83,127,197,3.61,0.14,0.61,0.42,0.75,3.91,5.98,9.27,5.5,23.6,29.1,0,0
2012-2013,Akim Aliu,Calgary,5,50:33:00,0,0,0,0,2,3,5,0,0,0,0,0,2.37,3.56,5.93,0,0,0,0,0
2015-2016,Al Montoya,Florida,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Al Montoya,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.892,
2013-2014,Al Montoya,Winnipeg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,
2012-2013,Al Montoya,Winnipeg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.899,
2011-2012,Al Montoya,New York Islanders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.893,
2010-2011,Al Montoya,New York Rangers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.921,
2014-2015,Alec Martinez,Los Angeles,56,864:18:00,4,11,5,15,77,109,167,5.19,0.28,0.76,0.35,1.04,5.35,7.57,11.59,10.5,28.9,39.5,0,0
2013-2014,Alec Martinez,Los Angeles,61,785:26:00,7,6,2,13,47,92,146,14.89,0.53,0.46,0.15,0.99,3.59,7.03,11.15,22.6,19.4,41.9,0,1
2012-2013,Alec Martinez,Los Angeles,27,362:09:00,0,3,0,3,24,38,55,0,0,0.5,0,0.5,3.98,6.3,9.11,0,42.9,42.9,0,0
2011-2012,Alec Martinez,Los Angeles,51,630:03:00,3,2,2,5,54,71,116,5.56,0.29,0.19,0.19,0.48,5.14,6.76,11.05,16.7,11.1,27.8,0,1
2010-2011,Alec Martinez,Los Angeles,60,780:15:00,4,6,2,10,49,77,131,8.16,0.31,0.46,0.15,0.77,3.77,5.92,10.07,12.5,18.8,31.2,0,0
2015-2016,Alec Martinez,Los Angeles,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Aleksander Barkov,Florida,71,976:07:00,13,15,7,28,96,125,153,13.54,0.8,0.92,0.43,1.72,5.9,7.68,9.4,36.1,41.7,77.8,0,0
2013-2014,Aleksander Barkov,Florida,54,722:07:00,4,13,10,17,66,78,101,6.06,0.33,1.08,0.83,1.41,5.48,6.48,8.39,12.9,41.9,54.8,0,0
2015-2016,Aleksander Barkov,Florida,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Ales Hemsky,Dallas,76,848:53:00,8,14,4,22,120,151,214,6.67,0.57,0.99,0.28,1.55,8.48,10.67,15.13,21.6,37.8,59.5,0,0
2013-2014,Ales Hemsky,Ottawa,75,959:29:00,11,16,9,27,121,150,199,9.09,0.69,1,0.56,1.69,7.57,9.38,12.44,28.2,41,69.2,0,0
2012-2013,Ales Hemsky,Edmonton,38,462:37:00,4,7,4,11,60,71,96,6.67,0.52,0.91,0.52,1.43,7.78,9.21,12.45,25,43.8,68.8,0,0
2011-2012,Ales Hemsky,Edmonton,69,1007:55:00,9,15,10,24,118,155,213,7.63,0.54,0.89,0.6,1.43,7.02,9.23,12.68,29,48.4,77.4,0,0
2010-2011,Ales Hemsky,Edmonton,47,626:35:00,10,14,11,24,70,94,128,14.29,0.96,1.34,1.05,2.3,6.7,9,12.26,34.5,48.3,82.8,0,0
2015-2016,Ales Hemsky,Dallas,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Ales Kotalik,Calgary,26,277:07:00,3,1,1,4,54,75,89,5.56,0.65,0.22,0.22,0.87,11.69,16.24,19.27,42.9,14.3,57.1,0,0
2011-2012,Alex Auld,Ottawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.884,
2010-2011,Alex Auld,Montreal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.914,
2014-2015,Alex Biega,Vancouver,7,101:33:00,1,0,0,1,6,12,17,16.67,0.59,0,0,0.59,3.55,7.09,10.04,25,0,25,0,0
2014-2015,Alex Burrows,Vancouver,70,813:47:00,11,10,5,21,107,146,178,10.28,0.81,0.74,0.37,1.55,7.89,10.76,13.12,34.4,31.2,65.6,0,0
2013-2014,Alex Burrows,Vancouver,49,640:40:00,3,5,3,8,79,119,159,3.8,0.28,0.47,0.28,0.75,7.4,11.14,14.89,18.8,31.2,50,0,0
2012-2013,Alex Burrows,Vancouver,47,625:58:00,12,9,6,21,102,131,157,11.76,1.15,0.86,0.58,2.01,9.78,12.56,15.05,36.4,27.3,63.6,0,0
2011-2012,Alex Burrows,Vancouver,80,1095:06:00,21,16,12,37,155,214,268,13.55,1.15,0.88,0.66,2.03,8.49,11.72,14.68,40.4,30.8,71.2,0,0
2010-2011,Alex Burrows,Vancouver,72,954:18:00,22,19,3,41,127,182,227,17.32,1.38,1.19,0.19,2.58,7.98,11.44,14.27,42.3,36.5,78.8,0,0
2014-2015,Alex Chiasson,Ottawa,76,780:38:00,7,10,5,17,76,98,129,9.21,0.54,0.77,0.38,1.31,5.84,7.53,9.91,31.8,45.5,77.3,0,0
2013-2014,Alex Chiasson,Dallas,79,847:24:00,6,14,7,20,80,127,173,7.5,0.42,0.99,0.5,1.42,5.66,8.99,12.25,19.4,45.2,64.5,0,0
2012-2013,Alex Chiasson,Dallas,7,86:57:00,5,1,1,6,10,13,17,50,3.45,0.69,0.69,4.14,6.9,8.97,11.73,83.3,16.7,100,0,0
2015-2016,Alex Chiasson,Ottawa,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Alex Frolov,New York Rangers,43,509:32:00,6,8,5,14,64,82,100,9.38,0.71,0.94,0.59,1.65,7.54,9.66,11.78,33.3,44.4,77.8,0,0
2014-2015,Alex Galchenyuk,Montreal,80,1070:18:00,15,17,12,32,121,165,221,12.4,0.84,0.95,0.67,1.79,6.78,9.25,12.39,31.2,35.4,66.7,0,0
2013-2014,Alex Galchenyuk,Montreal,65,777:38:00,8,10,8,18,82,110,144,9.76,0.62,0.77,0.62,1.39,6.33,8.49,11.11,34.8,43.5,78.3,0,0
2012-2013,Alex Galchenyuk,Montreal,48,526:55:00,9,16,12,25,66,96,121,13.64,1.02,1.82,1.37,2.85,7.52,10.93,13.78,28.1,50,78.1,0,0
2015-2016,Alex Galchenyuk,Montreal,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Alex Goligoski,Dallas,81,1422:29:00,4,20,9,24,99,150,218,4.04,0.17,0.84,0.38,1.01,4.18,6.33,9.2,5.7,28.6,34.3,0,0
2013-2014,Alex Goligoski,Dallas,81,1392:08:00,3,20,12,23,81,120,179,3.7,0.13,0.86,0.52,0.99,3.49,5.17,7.71,5.1,33.9,39,0,0
2012-2013,Alex Goligoski,Dallas,47,803:36:00,3,12,4,15,64,101,149,4.69,0.22,0.9,0.3,1.12,4.78,7.54,11.12,7.3,29.3,36.6,0,0
2011-2012,Alex Goligoski,Dallas,71,1211:33:00,7,10,6,17,97,161,240,7.22,0.35,0.5,0.3,0.84,4.8,7.97,11.89,14,20,34,0,0
2010-2011,Alex Goligoski,Dallas,83,1293:21:00,6,11,4,17,108,152,243,5.56,0.28,0.51,0.19,0.79,5.01,7.05,11.27,9.4,17.2,26.6,0,0
2015-2016,Alex Goligoski,Dallas,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Alex Killorn,Tampa Bay,71,925:55:00,11,21,12,32,104,142,178,10.58,0.71,1.36,0.78,2.07,6.74,9.2,11.53,25.6,48.8,74.4,0,0
2013-2014,Alex Killorn,Tampa Bay,82,1142:35:00,11,18,7,29,138,189,242,7.97,0.58,0.95,0.37,1.52,7.25,9.92,12.71,21.6,35.3,56.9,0,0
